"","X","code","date","cumulative_cases","cumulative_deaths","daily_cases","daily_deaths","state_name","pop_density","pop_count","region_census_sub_revised","region_code"
"1",1,"AK","2020-02-01",NA,NA,0,0,"Alaska",1,738432,"Pacific",6
"2",2,"AK","2020-02-02",NA,NA,0,0,"Alaska",1,738432,"Pacific",6
"3",3,"AK","2020-02-03",NA,NA,0,0,"Alaska",1,738432,"Pacific",6
"4",4,"AK","2020-02-04",NA,NA,0,0,"Alaska",1,738432,"Pacific",6
"5",5,"AK","2020-02-05",NA,NA,0,0,"Alaska",1,738432,"Pacific",6
"6",6,"AK","2020-02-06",NA,NA,0,0,"Alaska",1,738432,"Pacific",6
"7",7,"AK","2020-02-07",NA,NA,0,0,"Alaska",1,738432,"Pacific",6
"8",8,"AK","2020-02-08",NA,NA,0,0,"Alaska",1,738432,"Pacific",6
"9",9,"AK","2020-02-09",NA,NA,0,0,"Alaska",1,738432,"Pacific",6
"10",10,"AK","2020-02-10",NA,NA,0,0,"Alaska",1,738432,"Pacific",6
"11",11,"AK","2020-02-11",NA,NA,0,0,"Alaska",1,738432,"Pacific",6
"12",12,"AK","2020-02-12",NA,NA,0,0,"Alaska",1,738432,"Pacific",6
"13",13,"AK","2020-02-13",NA,NA,0,0,"Alaska",1,738432,"Pacific",6
"14",14,"AK","2020-02-14",NA,NA,0,0,"Alaska",1,738432,"Pacific",6
"15",15,"AK","2020-02-15",NA,NA,0,0,"Alaska",1,738432,"Pacific",6
"16",16,"AK","2020-02-16",NA,NA,0,0,"Alaska",1,738432,"Pacific",6
"17",17,"AK","2020-02-17",NA,NA,0,0,"Alaska",1,738432,"Pacific",6
"18",18,"AK","2020-02-18",NA,NA,0,0,"Alaska",1,738432,"Pacific",6
"19",19,"AK","2020-02-19",NA,NA,0,0,"Alaska",1,738432,"Pacific",6
"20",20,"AK","2020-02-20",NA,NA,0,0,"Alaska",1,738432,"Pacific",6
"21",21,"AK","2020-02-21",NA,NA,0,0,"Alaska",1,738432,"Pacific",6
"22",22,"AK","2020-02-22",NA,NA,0,0,"Alaska",1,738432,"Pacific",6
"23",23,"AK","2020-02-23",NA,NA,0,0,"Alaska",1,738432,"Pacific",6
