country,date,cases,deaths,schools,events,gatherings,venues,borders,lockdown,homeoffice,new_cases,incidence_rate,weekday,country_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday
Alaska,2020-03-12,NA,0,0,0,0,0,0,0,1,1,NA,thursday,1,0,0,0,1,0,0,0
Alaska,2020-03-13,1,0,0,0,0,0,0,0,1,0,0,friday,1,0,0,0,0,1,0,0
Alaska,2020-03-14,1,0,0,0,0,0,0,0,1,0,0,saturday,1,0,0,0,0,0,1,0
Alaska,2020-03-15,1,0,0,0,0,0,0,0,1,0,0,sunday,1,0,0,0,0,0,0,1
Alaska,2020-03-16,1,0,0,1,0,0,0,0,1,3,3,monday,1,1,0,0,0,0,0,0
Alaska,2020-03-17,4,0,0,1,1,0,0,0,1,5,1.25,tuesday,1,0,1,0,0,0,0,0
Alaska,2020-03-18,9,0,0,1,1,0,1,0,1,3,0.333333333,wednesday,1,0,0,1,0,0,0,0
Alaska,2020-03-19,12,0,0,1,1,0,1,0,1,3,0.25,thursday,1,0,0,0,1,0,0,0
Alaska,2020-03-20,15,0,0,1,1,0,1,0,1,1,0.066666667,friday,1,0,0,0,0,1,0,0
Alaska,2020-03-21,16,0,0,1,1,0,1,0,1,10,0.625,saturday,1,0,0,0,0,0,1,0
Alaska,2020-03-22,26,0,0,1,1,1,1,0,1,13,0.5,sunday,1,0,0,0,0,0,0,1
Alaska,2020-03-23,39,0,0,1,1,1,1,0,1,4,0.102564103,monday,1,1,0,0,0,0,0,0
Alaska,2020-03-24,43,0,0,1,1,1,1,0,1,7,0.162790698,tuesday,1,0,1,0,0,0,0,0
Alaska,2020-03-25,50,1,0,1,1,1,1,0,1,14,0.28,wednesday,1,0,0,1,0,0,0,0
Alaska,2020-03-26,64,1,0,1,1,1,1,0,1,11,0.171875,thursday,1,0,0,0,1,0,0,0
Alaska,2020-03-27,75,1,0,1,1,1,1,0,1,17,0.226666667,friday,1,0,0,0,0,1,0,0
Alaska,2020-03-28,92,2,1,1,1,1,1,0,1,19,0.206521739,saturday,1,0,0,0,0,0,1,0
Alaska,2020-03-29,111,2,1,1,1,1,1,0,1,8,0.072072072,sunday,1,0,0,0,0,0,0,1
Alaska,2020-03-30,119,3,1,1,1,1,1,0,1,10,0.084033613,monday,1,1,0,0,0,0,0,0
Alaska,2020-03-31,129,3,1,1,1,1,1,0,1,13,0.100775194,tuesday,1,0,1,0,0,0,0,0
Alaska,2020-04-01,142,3,1,1,1,1,1,0,1,8,0.056338028,wednesday,1,0,0,1,0,0,0,0
Alaska,2020-04-02,150,3,1,1,1,1,1,0,1,11,0.073333333,thursday,1,0,0,0,1,0,0,0
Alaska,2020-04-03,161,3,1,1,1,1,1,0,1,11,0.068322981,friday,1,0,0,0,0,1,0,0
Alaska,2020-04-04,172,5,1,1,1,1,1,0,1,15,0.087209302,saturday,1,0,0,0,0,0,1,0
Alaska,2020-04-05,187,6,1,1,1,1,1,0,1,6,0.032085561,sunday,1,0,0,0,0,0,0,1
Alaska,2020-04-06,193,6,1,1,1,1,1,0,1,22,0.113989637,monday,1,1,0,0,0,0,0,0
Alaska,2020-04-07,215,6,1,1,1,1,1,0,1,13,0.060465116,tuesday,1,0,1,0,0,0,0,0
Alaska,2020-04-08,228,7,1,1,1,1,1,0,1,10,0.043859649,wednesday,1,0,0,1,0,0,0,0
Alaska,2020-04-09,238,7,1,1,1,1,1,0,1,11,0.046218487,thursday,1,0,0,0,1,0,0,0
Alaska,2020-04-10,249,7,1,1,1,1,1,0,1,12,0.048192771,friday,1,0,0,0,0,1,0,0
Alaska,2020-04-11,261,8,1,1,1,1,1,0,1,15,0.057471264,saturday,1,0,0,0,0,0,1,0
Alaska,2020-04-12,276,8,1,1,1,1,1,0,1,5,0.018115942,sunday,1,0,0,0,0,0,0,1
Alaska,2020-04-13,281,8,1,1,1,1,1,0,1,8,0.028469751,monday,1,1,0,0,0,0,0,0
Alaska,2020-04-14,289,9,1,1,1,1,1,0,1,8,0.027681661,tuesday,1,0,1,0,0,0,0,0
Alaska,2020-04-15,297,9,1,1,1,1,1,0,1,8,0.026936027,wednesday,1,0,0,1,0,0,0,0
Alaska,2020-04-16,305,9,1,1,1,1,1,0,1,9,0.029508197,thursday,1,0,0,0,1,0,0,0
Alaska,2020-04-17,314,9,1,1,1,1,1,0,1,5,0.015923567,friday,1,0,0,0,0,1,0,0
Alaska,2020-04-18,319,9,1,1,1,1,1,0,1,5,0.015673981,saturday,1,0,0,0,0,0,1,0
Alaska,2020-04-19,324,9,1,1,1,1,1,0,1,2,0.00617284,sunday,1,0,0,0,0,0,0,1
Alaska,2020-04-20,326,9,1,1,1,1,1,0,1,8,0.024539877,monday,1,1,0,0,0,0,0,0
Alaska,2020-04-21,334,9,1,1,1,1,1,0,1,6,0.017964072,tuesday,1,0,1,0,0,0,0,0
Alaska,2020-04-22,340,9,1,1,1,1,1,0,1,2,0.005882353,wednesday,1,0,0,1,0,0,0,0
Alaska,2020-04-23,342,9,1,1,1,1,1,0,1,2,0.005847953,thursday,1,0,0,0,1,0,0,0
Alaska,2020-04-24,344,9,1,1,1,1,1,1,1,0,0,friday,1,0,0,0,0,1,0,0
Alaska,2020-04-25,344,9,1,1,1,1,1,1,1,2,0.005813953,saturday,1,0,0,0,0,0,1,0
