,date,death_29states_total,death_13states_total
1,2/1/20,0,0
2,2/2/20,0,0
3,2/3/20,0,0
4,2/4/20,0,0
5,2/5/20,0,0
6,2/6/20,0,0
7,2/7/20,0,0
8,2/8/20,0,0
9,2/9/20,0,0
10,2/10/20,0,0
11,2/11/20,0,0
12,2/12/20,0,0
13,2/13/20,0,0
14,2/14/20,0,0
15,2/15/20,0,0
16,2/16/20,0,0
17,2/17/20,0,0
18,2/18/20,0,0
19,2/19/20,0,0
20,2/20/20,0,0
21,2/21/20,0,0
22,2/22/20,0,0
23,2/23/20,0,0
24,2/24/20,0,0
25,2/25/20,0,0
26,2/26/20,0,0
27,2/27/20,0,0
28,2/28/20,0,0
29,2/29/20,1,0
30,3/1/20,0,0
31,3/2/20,5,0
32,3/3/20,1,0
33,3/4/20,4,0
34,3/5/20,1,0
35,3/6/20,2,0
36,3/7/20,3,0
37,3/8/20,2,2
38,3/9/20,1,0
39,3/10/20,6,0
40,3/11/20,4,0
41,3/12/20,9,1
42,3/13/20,7,1
43,3/14/20,8,0
44,3/15/20,11,1
45,3/16/20,26,1
46,3/17/20,34,4
47,3/18/20,53,8
48,3/19/20,59,11
49,3/20/20,95,13
50,3/21/20,90,11
51,3/22/20,105,10
52,3/23/20,178,10
53,3/24/20,220,20
54,3/25/20,304,28
55,3/26/20,386,29
56,3/27/20,464,52
57,3/28/20,582,56
58,3/29/20,589,34
59,3/30/20,660,42
60,3/31/20,986,92
61,4/1/20,1189,83
62,4/2/20,1353,156
63,4/3/20,1331,94
64,4/4/20,1450,105
65,4/5/20,1481,124
66,4/6/20,1663,102
67,4/7/20,2336,233
68,4/8/20,1996,155
69,4/9/20,2027,160
70,4/10/20,2021,159
71,4/11/20,1962,156
72,4/12/20,1773,95
73,4/13/20,1870,128
74,4/14/20,2156,268
75,4/15/20,2421,167
76,4/16/20,1915,213
77,4/17/20,1860,236
78,4/18/20,1866,102
79,4/19/20,1861,103
80,4/20/20,1995,227
81,4/21/20,2305,195
82,4/22/20,2234,200
83,4/23/20,2167,272
84,4/24/20,1990,184
85,4/25/20,1594,102
86,4/26/20,1277,113
87,4/27/20,1338,160
88,4/28/20,1992,223
89,4/29/20,2132,277
90,4/30/20,1946,234
91,5/1/20,1676,210
92,5/2/20,1578,148
93,5/3/20,1054,129
94,5/4/20,1217,160
95,5/5/20,1941,296
96,5/6/20,2050,247
97,5/7/20,1657,259
98,5/8/20,1470,283
99,5/9/20,1304,157
100,5/10/20,887,83
101,5/11/20,884,149
102,5/12/20,1339,248
103,5/13/20,1534,200
104,5/14/20,1530,246
105,5/15/20,1410,248
106,5/16/20,1008,190
107,5/17/20,730,80
108,5/18/20,1101,120
109,5/19/20,1242,209
110,5/20/20,1235,255
111,5/21/20,946,234
112,5/22/20,1048,165
113,5/23/20,909,174
114,5/24/20,531,103
115,5/25/20,504,85
116,5/26/20,529,146
117,5/27/20,1206,245
118,5/28/20,887,213
119,5/29/20,945,179
120,5/30/20,772,172
121,5/31/20,504,105
122,6/1/20,666,108
123,6/2/20,755,216
124,6/3/20,807,201
125,6/4/20,814,194
126,6/5/20,707,177
127,6/6/20,508,132
128,6/7/20,403,53
129,6/8/20,393,114
130,6/9/20,674,233
131,6/10/20,674,195
132,6/11/20,598,222
133,6/12/20,617,204
134,6/13/20,559,175
135,6/14/20,291,49
136,6/15/20,282,113
