"","state","ifr","icr","ihr","code"
"1","Alabama",0.00939775223346031,0.0124587398293235,0.0437895136746578,"AL"
"2","Alaska",0.00709137879659931,0.00940114640405268,0.0375100072118258,"AK"
"3","Arizona",0.00949285618271083,0.0125848204588871,0.0432027795545374,"AZ"
"4","Arkansas",0.00927481542768221,0.0122957607385012,0.0429350939819779,"AR"
"5","California",0.0083634004745835,0.0110874841937988,0.040328212852324,"CA"
"6","Colorado",0.00817403358351627,0.010836437885194,0.0403793463152197,"CO"
"7","Connecticut",0.00985353621226258,0.0130629794501185,0.0453281951908448,"CT"
"8","Delaware",0.0100406587806368,0.0133110503364557,0.0462184982226928,"DE"
"9","District of Columbia",0.00728224128131642,0.00965417548334697,0.0368013015877951,"DC"
"10","Florida",0.0110343253060026,0.0146283690523035,0.0480736916904121,"FL"
"11","Georgia",0.00799838117005945,0.0106035728262052,0.0397852047602999,"GA"
"12","Hawaii",0.0101358231318918,0.0134372113694282,0.0450235550314022,"HI"
"13","Idaho",0.00870495396792055,0.0115402868981171,0.0410600497178051,"ID"
"14","Illinois",0.00899070982037694,0.0119191175962989,0.0423959719468054,"IL"
"15","Indiana",0.00892569622654179,0.0118329282249675,0.0420446168103778,"IN"
"16","Iowa",0.00959788499281141,0.0127240588033525,0.0432859569426428,"IA"
"17","Kansas",0.00900813334900137,0.0119422162051054,0.0416149871836273,"KS"
"18","Kentucky",0.00921318037120987,0.012214050268818,0.0432403667695119,"KY"
"19","Louisiana",0.00870822553619805,0.011544623963219,0.0416213676676244,"LA"
"20","Maine",0.0112561936656202,0.0149225034137475,0.0502086939383025,"ME"
"21","Maryland",0.0089083310694852,0.0118099069109761,0.0427254676489808,"MD"
"22","Massachusetts",0.00941366528997043,0.0124798362395658,0.043954921154287,"MA"
"23","Michigan",0.00963309666174782,0.012770739571572,0.0445428451244072,"MI"
"24","Minnesota",0.00907610081952811,0.0120323217775098,0.0425315962442158,"MN"
"25","Mississippi",0.00884418761962878,0.0117248709442343,0.0418643992072295,"MS"
"26","Missouri",0.00949994693246094,0.0125942208208362,0.0437587658602927,"MO"
"27","Montana",0.0101101646218804,0.0134031954736925,0.045991182373248,"MT"
"28","Nebraska",0.00895507190134151,0.0118718718841943,0.0412402882767803,"NE"
"29","Nevada",0.00873242155986798,0.0115767009242879,0.0421271353054644,"NV"
"30","New Hampshire",0.0101597742781858,0.0134689640363248,0.0471906138416579,"NH"
"31","New Jersey",0.00935523440246256,0.0124023732201724,0.0438431312506141,"NJ"
"32","New Mexico",0.00953875588692448,0.0126456702352187,0.0436062196754498,"NM"
"33","New York",0.00941596224958284,0.0124828811444004,0.0436690224183864,"NY"
"34","North Carolina",0.00907584261701251,0.0120319794884684,0.0429950053969584,"NC"
"35","North Dakota",0.00887818095153345,0.0117699366128737,0.0405846199561593,"ND"
"36","Ohio",0.00957861156389275,0.0126985077462965,0.0442040780125475,"OH"
"37","Oklahoma",0.00884992670937993,0.0117324793497982,0.041295760620871,"OK"
"38","Oregon",0.00957776449148926,0.0126973847558693,0.0444636031949723,"OR"
"39","Pennsylvania",0.0101937922067402,0.013514061908367,0.0459282318679004,"PA"
"40","Rhode Island",0.00986737541726151,0.0130813268281616,0.0450423481512878,"RI"
"41","South Carolina",0.00954178360551489,0.0126496844971849,0.0444186410109835,"SC"
"42","South Dakota",0.00932786324777373,0.0123660869245086,0.0424890632565667,"SD"
"43","Tennessee",0.00913664023992544,0.0121125798261965,0.043148758736857,"TN"
"44","Texas",0.00742697088339608,0.00984604552597281,0.0373504455319547,"TX"
"45","Utah",0.00660043510079335,0.00875029475390934,0.0333648434897985,"UT"
"46","Vermont",0.0106214247238365,0.0140809810239843,0.048294583086953,"VT"
"47","Virginia",0.00882090872647567,0.0116940099460471,0.0422054545706061,"VA"
"48","Washington",0.0087039291706348,0.0115389283214812,0.0418841815068936,"WA"
"49","West Virginia",0.0106602360759334,0.0141324334960112,0.0479208861802702,"WV"
"50","Wisconsin",0.00961230067662119,0.0127431698886538,0.0444011514127766,"WI"
"51","Wyoming",0.00915322288857821,0.0121345634874078,0.0432815906449678,"WY"
