State,Gather,Business,Restaurant,School,Home
AK,3/18/2020,3/22/2020,3/17/2020,3/16/2020,3/28/2020
AL,3/19/2020,3/19/2020,3/19/2020,3/18/2020,4/4/2020
AR,3/25/2020,3/20/2020,3/19/2020,3/15/2020,3/31/2020
AZ,3/16/2020,3/19/2020,3/19/2020,3/16/2020,NA
CA,3/11/2020,3/15/2020,3/17/2020,3/17/2020,3/19/2020
CO,3/12/2020,3/22/2020,3/17/2020,3/23/2020,3/26/2020
CT,3/12/2020,3/16/2020,3/16/2020,3/15/2020,NA
DC,3/13/2020,3/16/2020,3/16/2020,3/16/2020,4/1/2020
DE,3/13/2020,3/16/2020,3/16/2020,3/16/2020,3/24/2020
FL,3/23/2020,3/23/2020,3/17/2020,3/16/2020,4/3/2020
GA,3/23/2020,3/24/2020,NA,3/18/2020,4/3/2020
HI,3/13/2020,3/18/2020,3/17/2020,3/16/2020,3/25/2020
IA,3/17/2020,3/17/2020,3/17/2020,3/15/2020,NA
ID,3/18/2020,3/25/2020,3/26/2020,3/24/2020,3/25/2020
IL,3/16/2020,3/19/2020,3/16/2020,3/13/2020,3/21/2020
IN,3/12/2020,3/23/2020,3/16/2020,3/19/2020,3/24/2020
KS,3/25/2020,3/30/2020,NA,3/23/2020,3/30/2020
KY,3/9/2020,3/25/2020,3/16/2020,3/16/2020,NA
LA,3/13/2020,3/16/2020,3/16/2020,3/13/2020,3/23/2020
MA,3/17/2020,3/24/2020,3/17/2020,3/17/2020,NA
MD,3/16/2020,3/17/2020,3/16/2020,3/16/2020,3/30/2020
ME,3/18/2020,3/24/2020,3/18/2020,3/18/2020,4/2/2020
MI,3/10/2020,3/16/2020,3/16/2020,3/12/2020,3/24/2020
MN,3/15/2020,3/18/2020,3/16/2020,3/18/2020,3/27/2020
MO,3/20/2020,3/21/2020,3/21/2020,3/19/2020,4/6/2020
MS,3/25/2020,3/22/2004,3/25/2020,3/16/2020,4/3/2020
MT,3/15/2020,3/20/2020,3/20/2020,3/16/2020,3/28/2020
NC,3/12/2020,3/25/2020,3/17/2020,3/14/2020,3/30/2020
ND,3/12/2020,3/19/2020,3/20/2020,3/16/2020,NA
NE,3/16/2020,3/19/2020,3/19/2020,4/1/2020,NA
NH,3/16/2020,3/28/2020,3/16/2020,3/16/2020,3/27/2020
NJ,3/12/2020,3/21/2020,3/16/2020,3/18/2020,3/21/2020
NM,3/12/2020,3/23/2020,3/18/2020,3/12/2020,NA
NV,NA,3/17/2020,3/21/2020,3/16/2020,3/31/2020
NY,3/22/2020,3/22/2020,3/16/2020,3/18/2020,3/22/2020
OH,3/10/2020,3/18/2020,3/15/2020,3/16/2020,3/23/2020
OK,3/24/2020,3/24/2020,3/24/2020,3/17/2020,3/24/2020
OR,3/17/2020,3/13/2020,3/16/2020,3/16/2020,3/23/2020
PA,3/17/2020,3/17/2020,3/16/2020,3/16/2020,4/1/2020
RI,3/16/2020,3/23/2020,3/17/2020,3/16/2020,3/28/2020
SC,3/13/2020,3/30/2020,3/18/2020,3/15/2020,4/7/2020
SD,3/23/2020,3/25/2020,NA,3/13/2020,NA
TN,3/22/2020,3/31/2020,3/22/2020,3/20/2020,4/2/2020
TX,3/19/2020,3/23/2020,3/31/2020,3/20/2020,NA
UT,3/17/2020,3/26/2020,3/18/2020,3/16/2020,NA
VA,3/15/2020,3/23/2020,3/17/2020,3/16/2020,3/30/2020
VT,3/21/2020,3/25/2020,3/16/2020,3/18/2020,3/24/2020
WA,3/16/2020,3/23/2020,3/15/2020,3/13/2020,3/23/2020
WI,3/17/2020,3/17/2020,3/17/2020,3/18/2020,3/25/2020
WV,3/19/2020,3/23/2020,3/16/2020,3/14/2020,3/24/2020
WY,3/20/2020,3/25/2020,3/19/2020,3/16/2020,NA
